Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;volume;Виробник;"Розміри, мм";"Довжина (L), мм";"Ширина (B), мм";"Висота (H), мм";"Об'єм бетону";"Клас бетону";"Маса, т";"Маса, кг"
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 25-8 перемичка плитна";;31311;1591.20;1591.20;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-25-8-peremichka-plitna;;Ковальська;2460x380x140;2460;380;140;0.18;B15;0.445;445
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 23-7 перемичка плитна";;31310;1483.20;1483.20;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-23-7-peremichka-plitna;;Ковальська;2330x380x140;2330;380;140;0.17;B15;0.421;421
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 21-71 перемичка плитна";;31309;1712.40;1712.40;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-21-71-peremichka-plitna;;Ковальська;2070x380x190;2070;380;190;0.15;B15;0.374;374
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 21-6 перемичка плитна";;31308;1327.20;1327.20;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-21-6-peremichka-plitna;;Ковальська;2070x380x140;2070;380;140;0.15;B15;0.374;374
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 18-71 перемичка плитна";;31307;1190.40;1190.40;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-18-71-peremichka-plitna;;Ковальська;1810x380x190;1810;380;190;0.13;B15;0.327;327
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 18-5 перемичка плитна";;31306;885.60;885.60;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-18-5-peremichka-plitna;;Ковальська;1810x380x140;1810;380;140;0.13;B15;0.327;327
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 17-5 перемичка плитна";;31305;804.00;804.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-17-5-peremichka-plitna;;Ковальська;1680x380x140;1680;380;140;0.12;B15;0.303;303
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 16-71 перемичка плитна";;31304;1026.00;1026.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-16-71-peremichka-plitna;;Ковальська;1550x380x190;1550;380;190;0.11;B15;0.28;280
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"8 ПП 14-71 перемичка плитна";;31303;816.00;816.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;8-pp-14-71-peremichka-plitna;;Ковальська;1420x380x190;1420;380;190;0.1;B15;0.256;256
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 30-10 перемичка плитна";;31302;2202.00;2202.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-30-10-peremichka-plitna;;Ковальська;2980x380x220;2980;380;220;0.25;B15;0.623;623
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 27-71 перемичка плитна";;31301;2634.00;2634.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-27-71-peremichka-plitna;;Ковальська;2720x380x220;2720;380;220;0.23;B15;0.568;568
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 21-71 перемичка плитна";;31300;1500.00;1500.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-21-71-peremichka-plitna;;Ковальська;2070x380x220;2070;380;220;0.17;B15;0.433;433
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 18-71 перемичка плитна";;31299;1327.20;1327.20;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-18-71-peremichka-plitna;;Ковальська;1810x380x220;1810;380;220;0.15;B15;0.378;378
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 16-71 перемичка плитна";;31298;1150.80;1150.80;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-16-71-peremichka-plitna;;Ковальська;1550x380x220;1550;380;220;0.13;B15;0.325;325
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"3 ПП 14-71 перемичка плитна";;31297;1047.60;1047.60;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;3-pp-14-71-peremichka-plitna;;Ковальська;1420x380x220;1420;380;220;0.12;B15;0.297;297
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 25-8 перемичка плитна";;31296;1191.60;1191.60;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-25-8-peremichka-plitna;;Ковальська;2460x380x140;2460;380;140;0.13;B15;0.325;325
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 23-7 перемичка плитна";;31295;1107.60;1107.60;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-23-7-peremichka-plitna;;Ковальська;2330x380x140;2330;380;140;0.12;B15;0.31;310
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 21-6 перемичка плитна";;31294;1014.00;1014.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-21-6-peremichka-plitna;;Ковальська;2070x380x140;2070;380;140;0.11;B15;0.275;275
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 18-5 перемичка плитна";;31293;888.00;888.00;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-18-5-peremichka-plitna;;Ковальська;1810x380x140;1810;380;140;0.1;B15;0.241;241
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 17-5 перемичка плитна";;31292;775.20;775.20;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-17-5-peremichka-plitna;;Ковальська;1680x380x140;1680;380;140;0.09;B15;0.223;223
"Залізобетонні вироби/Перемички/Перемички плитні";Ковальська;"2 ПП 14-4 перемичка плитна";;31291;687.60;687.60;4;0.00;;шт.;1;0;;;;;;perem-pl.jpg;2-pp-14-4-peremichka-plitna;;Ковальська;1420x380x140;1420;380;140;0.08;B15;0.189;189
"Залізобетонні вироби/Перемички/Перемички брускові";Ковальська;"9ПБ 27-8-п перемичка брускова";;31290;535.20;535.20;4;0.00;;шт.;1;0;;;;;;perem-brus.jpg;9pb-27-8-p-peremichka-bruskova;;Ковальська;2720x120x190;2720;120;190;0.06;B15;0.155;155
"Залізобетонні вироби/Перемички/Перемички брускові";Ковальська;"9ПБ 25-8-п перемичка брускова";;31289;478.80;478.80;4;0.00;;шт.;1;0;;;;;;perem-brus.jpg;9pb-25-8-p-peremichka-bruskova;;Ковальська;2460x120x190;2460;120;190;0.06;B15;0.14;140
